Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
49,2040,228,137.106,83.7217,53.5838,45.7898,0,110.314,106.617,110.314,60.8268,163.898,60.8268,163.898,106.617
50,2080,237,137.336,84.7183,53.5199,45.7352,0,110.576,107.586,110.576,61.8507,164.096,61.8507,164.096,107.586
51,2120,227,137.914,86.4838,53.8327,46.0025,0,110.997,109.485,110.997,63.4825,164.83,63.4825,164.83,109.485
52,2160,224,138.305,88.2252,53.7955,45.9707,0,111.408,111.211,111.408,65.2399,165.203,65.2399,165.203,111.211
53,2200,231,138.516,90.2647,53.8506,46.0178,0,111.591,113.274,111.591,67.2558,165.442,67.2558,165.442,113.274
54,2240,229,138.612,92.625,53.8573,46.0235,0,111.684,115.637,111.684,69.6133,165.541,69.6133,165.541,115.637
55,2280,228,138.841,95.1967,54.018,46.1609,0,111.832,118.277,111.832,72.1163,165.85,72.1163,165.85,118.277
56,2320,226,139.093,97.3149,53.7739,45.9522,0,112.206,120.291,112.206,74.3388,165.98,74.3388,165.98,120.291
57,2360,226,139.093,99.5524,53.7682,45.9474,0,112.209,122.526,112.209,76.5787,165.977,76.5787,165.977,122.526
58,2400,228,138.963,101.471,53.4972,45.7158,0,112.214,124.328,112.214,78.6127,165.712,78.6127,165.712,124.328
59,2440,224,138.766,103.303,53.3235,45.5674,0,112.104,126.086,112.104,80.5188,165.428,80.5188,165.428,126.086
60,2480,225,138.491,105.296,53.5022,45.72,0,111.74,128.156,111.74,82.4364,165.242,82.4364,165.242,128.156
61,2520,224,138.025,107.462,53.5859,45.7916,0,111.232,130.358,111.232,84.5665,164.818,84.5665,164.818,130.358
62,2560,222,137.535,109.612,53.7044,45.8928,0,110.683,132.559,110.683,86.6658,164.387,86.6658,164.387,132.559
63,2600,224,137.446,111.319,53.7834,45.9604,0,110.555,134.299,110.555,88.3385,164.338,88.3385,164.338,134.299
64,2640,222,137.742,112.569,53.8372,46.0064,0,110.823,135.572,110.823,89.566,164.66,89.566,164.66,135.572
65,2680,222,138.545,113.562,53.7637,45.9436,0,111.663,136.533,111.663,90.5899,165.427,90.5899,165.427,136.533
66,2720,223,139.829,114.302,53.5448,45.7564,0,113.056,137.18,113.056,91.424,166.601,91.424,166.601,137.18
67,2760,224,141.387,114.99,53.7978,45.9726,0,114.488,137.977,114.488,92.0039,168.285,92.0039,168.285,137.977
68,2800,223,142.71,115.591,53.7979,45.9727,0,115.811,138.578,115.811,92.6049,169.609,92.6049,169.609,138.578
69,2840,221,144.051,116.382,53.8428,46.0111,0,117.129,139.387,117.129,93.3764,170.972,93.3764,170.972,139.387
70,2880,221,145.586,116.971,53.8112,45.9841,0,118.68,139.963,118.68,93.979,172.491,93.979,172.491,139.963
71,2920,223,147.356,117.187,53.9445,46.098,0,120.384,140.236,120.384,94.1378,174.328,94.1378,174.328,140.236
72,2960,224,149.107,116.987,54.0417,46.1811,0,122.086,140.078,122.086,93.8964,176.128,93.8964,176.128,140.078
73,3000,222,150.41,116.313,54.1406,46.2656,0,123.34,139.445,123.34,93.1798,177.481,93.1798,177.481,139.445
74,3040,223,151.055,115.312,54.0391,46.1788,0,124.036,138.401,124.036,92.2221,178.075,92.2221,178.075,138.401
75,3080,222,150.872,113.917,54.0364,46.1766,0,123.854,137.005,123.854,90.8287,177.89,90.8287,177.89,137.005
76,3120,225,150.323,112.148,54.3363,46.4328,0,123.155,135.365,123.155,88.9321,177.491,88.9321,177.491,135.365
