Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
53,2200,82,322.357,238.052,125.785,152.943,0,259.465,314.524,259.465,161.581,385.25,161.581,385.25,314.524
54,2240,83,324.334,232.036,126.401,153.692,0,261.134,308.882,261.134,155.19,387.535,155.19,387.535,308.882
55,2280,89,325.903,223.15,127.017,154.441,0,262.394,300.371,262.394,145.93,389.411,145.93,389.411,300.371
56,2320,85,327.262,213.826,126.434,153.732,0,264.045,290.691,264.045,136.96,390.479,136.96,390.479,290.691
57,2360,84,327.89,202.356,127.802,155.396,0,263.989,280.054,263.989,124.658,391.791,124.658,391.791,280.054
58,2400,90,329.213,190.767,131.438,159.817,0,263.494,270.675,263.494,110.858,394.932,110.858,394.932,270.675
59,2440,85,328.609,179.477,132.227,160.776,0,262.496,259.865,262.496,99.0893,394.723,99.0893,394.723,259.865
60,2480,76,329.022,167.203,130.231,158.349,0,263.907,246.378,263.907,88.029,394.137,88.029,394.137,246.378
61,2520,76,328.472,157.695,128.047,155.693,0,264.449,235.542,264.449,79.8488,392.495,79.8488,392.495,235.542
62,2560,74,328.027,147.704,127.533,155.069,0,264.261,225.238,264.261,70.1696,391.794,70.1696,391.794,225.238
63,2600,78,327.606,137.755,125.926,153.114,0,264.643,214.312,264.643,61.1975,390.569,61.1975,390.569,214.312
64,2640,84,327.196,130.878,124.031,150.81,0,265.181,206.283,265.181,55.4729,389.212,55.4729,389.212,206.283
65,2680,82,325.771,124.714,119.979,145.884,0,265.781,197.656,265.781,51.772,385.761,51.772,385.761,197.656
66,2720,80,324.898,119.161,118.562,144.161,0,265.617,191.241,265.617,47.0802,384.18,47.0802,384.18,191.241
67,2760,81,324.802,113.282,117.533,142.91,0,266.035,184.737,266.035,41.8268,383.568,41.8268,383.568,184.737
68,2800,85,324.21,108.726,110.851,134.785,0,268.784,176.119,268.784,41.3337,379.635,41.3337,379.635,176.119
69,2840,86,323.869,105.626,106.19,129.118,0,270.773,170.184,270.773,41.0665,376.964,41.0665,376.964,170.184
