Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
52,2160,54,419.888,442.361,55.5131,155.635,0,392.132,520.179,392.132,364.544,447.645,364.544,447.645,520.179
53,2200,52,419.712,441.812,55.4253,155.389,0,391.999,519.506,391.999,364.117,447.424,364.117,447.424,519.506
54,2240,52,420.381,441.75,55.2966,155.028,0,392.732,519.264,392.732,364.236,448.029,364.236,448.029,519.264
55,2280,49,420.65,442.734,55.6195,155.933,0,392.84,520.701,392.84,364.768,448.46,364.768,448.46,520.701
56,2320,55,419.82,442.198,55.4088,155.342,0,392.116,519.869,392.116,364.527,447.525,364.527,447.525,519.869
57,2360,54,421.024,442.1,55.5141,155.638,0,393.267,519.918,393.267,364.281,448.781,364.281,448.781,519.918
58,2400,50,420.533,442.247,55.5202,155.655,0,392.773,520.074,392.773,364.42,448.293,364.42,448.293,520.074
59,2440,50,420.587,441.748,55.281,154.984,0,392.947,519.24,392.947,364.256,448.228,364.256,448.228,519.24
60,2480,51,420.04,441.969,55.3166,155.084,0,392.382,519.511,392.382,364.427,447.698,364.427,447.698,519.511
61,2520,55,420.327,442.061,55.4176,155.367,0,392.618,519.745,392.618,364.377,448.036,364.377,448.036,519.745
62,2560,51,420.224,442.161,55.4707,155.516,0,392.489,519.919,392.489,364.403,447.96,364.403,447.96,519.919
63,2600,55,420.469,441.947,55.4997,155.597,0,392.719,519.745,392.719,364.148,448.219,364.148,448.219,519.745
64,2640,54,420.234,442.644,55.464,155.497,0,392.502,520.393,392.502,364.896,447.966,364.896,447.966,520.393
65,2680,49,419.902,442.061,55.4371,155.422,0,392.183,519.772,392.183,364.35,447.62,364.35,447.62,519.772
66,2720,56,420.2,442.507,55.4961,155.587,0,392.452,520.301,392.452,364.714,447.948,364.714,447.948,520.301
67,2760,53,420.529,441.82,55.4571,155.478,0,392.8,519.559,392.8,364.081,448.257,364.081,448.257,519.559
68,2800,56,419.969,442.049,55.5044,155.611,0,392.217,519.854,392.217,364.244,447.721,364.244,447.721,519.854
69,2840,56,419.924,442.3,55.5442,155.722,0,392.152,520.161,392.152,364.438,447.696,364.438,447.696,520.161
70,2880,57,419.589,442.323,55.4414,155.434,0,391.868,520.04,391.868,364.606,447.31,364.606,447.31,520.04
71,2920,53,420.134,441.914,55.5651,155.781,0,392.351,519.805,392.351,364.024,447.916,364.024,447.916,519.805
72,2960,52,420.078,442.255,55.3322,155.128,0,392.412,519.819,392.412,364.691,447.744,364.691,447.744,519.819
