Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
51,2120,168,135.367,118.654,57.3883,160.892,0,106.673,199.1,106.673,38.2083,164.062,38.2083,164.062,199.1
52,2160,164,136.129,118.278,57.4162,160.97,0,107.421,198.763,107.421,37.793,164.837,37.793,164.837,198.763
53,2200,171,137.241,117.577,57.0129,159.84,0,108.734,197.497,108.734,37.6568,165.747,37.6568,165.747,197.497
54,2240,178,138.59,116.455,56.3773,158.058,0,110.401,195.484,110.401,37.4263,166.778,37.4263,166.778,195.484
55,2280,178,139.243,115.817,56.0229,157.064,0,111.232,194.35,111.232,37.2852,167.255,37.2852,167.255,194.35
56,2320,177,139.945,114.901,55.5795,155.821,0,112.155,192.812,112.155,36.9906,167.735,36.9906,167.735,192.812
57,2360,169,140.349,114.256,55.6003,155.879,0,112.549,192.196,112.549,36.3167,168.149,36.3167,168.149,192.196
58,2400,172,140.343,114.796,56.2342,157.656,0,112.226,193.624,112.226,35.9673,168.461,35.9673,168.461,193.624
59,2440,173,140.761,114.143,56.0313,157.088,0,112.745,192.687,112.745,35.5994,168.777,35.5994,168.777,192.687
60,2480,170,141.437,114.723,56.1936,157.543,0,113.34,193.494,113.34,35.9513,169.534,35.9513,169.534,193.494
61,2520,159,141.715,114.503,55.7028,156.167,0,113.864,192.587,113.864,36.4199,169.567,36.4199,169.567,192.587
62,2560,162,141.744,114.781,55.131,154.564,0,114.178,192.063,114.178,37.4989,169.309,37.4989,169.309,192.063
63,2600,157,142.051,115.693,55.0395,154.307,0,114.531,192.847,114.531,38.5397,169.571,38.5397,169.571,192.847
64,2640,160,142.057,115.82,55.0777,154.414,0,114.518,193.027,114.518,38.6129,169.596,38.6129,169.596,193.027
65,2680,160,142.28,115.752,55.0084,154.22,0,114.776,192.862,114.776,38.6423,169.784,38.6423,169.784,192.862
66,2720,167,142.626,115.402,54.8417,153.753,0,115.206,192.278,115.206,38.5254,170.047,38.5254,170.047,192.278
67,2760,171,143.507,114.994,54.82,153.692,0,116.097,191.84,116.097,38.1485,170.917,38.1485,170.917,191.84
68,2800,170,144.219,114.485,54.5444,152.919,0,116.947,190.945,116.947,38.0256,171.491,38.0256,171.491,190.945
69,2840,157,144.649,113.926,54.6774,153.292,0,117.311,190.572,117.311,37.2799,171.988,37.28,171.988,190.572
70,2880,158,144.993,112.205,54.0031,151.402,0,117.992,187.906,117.992,36.5043,171.995,36.5043,171.995,187.906
71,2920,158,145.591,110.316,53.1099,148.897,0,119.036,184.765,119.036,35.8674,172.146,35.8674,172.146,184.765
72,2960,169,145.819,109.133,52.8698,148.224,0,119.384,183.245,119.384,35.0209,172.254,35.0209,172.254,183.245
73,3000,173,145.629,108.993,53.3517,149.575,0,118.953,183.781,118.953,34.2057,172.305,34.2057,172.305,183.781
74,3040,167,144.991,108.825,53.6339,150.366,0,118.174,184.008,118.174,33.6414,171.807,33.6414,171.807,184.008
75,3080,164,143.477,107.483,52.9125,148.344,0,117.02,181.655,117.02,33.3112,169.933,33.3112,169.933,181.655
76,3120,162,141.633,107.172,52.7016,147.753,0,115.283,181.049,115.283,33.2959,167.984,33.2959,167.984,181.049
77,3160,161,139.203,106.81,52.2819,146.576,0,113.062,180.098,113.062,33.5223,165.344,33.5223,165.344,180.098
78,3200,154,137.941,107.056,52.1842,146.302,0,111.849,180.207,111.849,33.9046,164.033,33.9046,164.033,180.207
79,3240,154,135.707,108.563,52.2498,146.486,0,109.582,181.806,109.582,35.3199,161.832,35.3199,161.832,181.806
80,3280,152,133.577,110.8,52.3385,146.735,0,107.408,184.168,107.408,37.4332,159.746,37.4332,159.746,184.168
81,3320,157,132.766,111.122,52.1944,146.331,0,106.669,184.288,106.669,37.9572,158.863,37.9572,158.863,184.288
82,3360,154,131.697,111.795,52.6183,147.519,0,105.388,185.555,105.388,38.0356,158.007,38.0356,158.007,185.555
83,3400,156,130.855,110.857,52.0682,145.977,0,104.821,183.846,104.821,37.8686,156.889,37.8686,156.889,183.846
84,3440,154,130.057,110.557,52.0434,145.907,0,104.035,183.511,104.035,37.6036,156.079,37.6036,156.079,183.511
85,3480,157,129.818,110.163,51.6728,144.868,0,103.982,182.597,103.982,37.729,155.655,37.729,155.655,182.597
86,3520,158,129.605,109.526,51.243,143.663,0,103.983,181.358,103.983,37.6945,155.226,37.6945,155.226,181.358
87,3560,157,129.173,109.004,51.2093,143.569,0,103.568,180.788,103.568,37.2192,154.777,37.2192,154.777,180.788
88,3600,156,129.154,107.6,50.4057,141.316,0,103.952,178.258,103.952,36.9415,154.357,36.9415,154.357,178.258
89,3640,162,128.695,106.787,50.2003,140.74,0,103.595,177.157,103.595,36.4169,153.795,36.4169,153.795,177.157
90,3680,164,128.127,105.861,49.8147,139.659,0,103.219,175.691,103.219,36.0314,153.034,36.0314,153.034,175.691
91,3720,159,127.778,105.532,49.4396,138.607,0,103.059,174.836,103.059,36.2283,152.498,36.2283,152.498,174.836
92,3760,149,126.984,105.786,49.1627,137.831,0,102.403,174.702,102.403,36.8705,151.565,36.8705,151.565,174.702
